block,pika_treatment,posion_plant_treatment,year,plant,forage_quality,month,forage_quality_beta
1,no pika,No S. chamaejasme,2022,cp,8.4,June,0.08833333333333333
1,no pika,No S. chamaejasme,2022,adf,30.9,June,0.3109895833333333
1,no pika,No S. chamaejasme,2022,ndf,62.5,June,0.6236979166666666
1,no pika,No S. chamaejasme,2022,cp,8.7,June,0.09130208333333333
1,no pika,No S. chamaejasme,2022,adf,32.2,July,0.32385416666666667
1,no pika,No S. chamaejasme,2022,ndf,62.6,July,0.6246875
1,no pika,No S. chamaejasme,2022,ee_percent,3.1,NA,0.045656249999999995
1,no pika,No S. chamaejasme,2022,cp,9.2,July,0.09625
1,no pika,No S. chamaejasme,2022,adf,32.4,August,0.32583333333333336
1,no pika,No S. chamaejasme,2022,ndf,63.6,August,0.6345833333333334
2,no pika,No S. chamaejasme,2022,cp,8.1,June,0.08536458333333334
2,no pika,No S. chamaejasme,2022,adf,30.8,June,0.31
2,no pika,No S. chamaejasme,2022,ndf,63.9,June,0.6375520833333334
2,no pika,No S. chamaejasme,2022,cp,8,June,0.08437500000000002
2,no pika,No S. chamaejasme,2022,adf,31.8,July,0.3198958333333333
2,no pika,No S. chamaejasme,2022,ndf,65.4,July,0.6523958333333334
2,no pika,No S. chamaejasme,2022,ee_percent,3.2,NA,0.046625
2,no pika,No S. chamaejasme,2022,cp,8.1,July,0.08536458333333334
2,no pika,No S. chamaejasme,2022,adf,33.5,August,0.33671875
2,no pika,No S. chamaejasme,2022,ndf,66.5,August,0.66328125
3,no pika,No S. chamaejasme,2022,cp,7.9,June,0.08338541666666666
3,no pika,No S. chamaejasme,2022,adf,30.3,June,0.30505208333333333
3,no pika,No S. chamaejasme,2022,ndf,61.6,June,0.6147916666666666
3,no pika,No S. chamaejasme,2022,cp,8.9,June,0.09328125
3,no pika,No S. chamaejasme,2022,adf,30.1,July,0.30307291666666664
3,no pika,No S. chamaejasme,2022,ndf,62.1,July,0.6197395833333333
3,no pika,No S. chamaejasme,2022,ee_percent,3,NA,0.0446875
3,no pika,No S. chamaejasme,2022,cp,9.3,July,0.09723958333333334
3,no pika,No S. chamaejasme,2022,adf,31.2,August,0.31395833333333334
3,no pika,No S. chamaejasme,2022,ndf,63.1,August,0.6296354166666667
4,no pika,No S. chamaejasme,2022,cp,8.5,June,0.08932291666666668
4,no pika,No S. chamaejasme,2022,adf,30.2,June,0.30406249999999996
4,no pika,No S. chamaejasme,2022,ndf,60.1,June,0.5999479166666667
4,no pika,No S. chamaejasme,2022,cp,8.3,June,0.08734375000000001
4,no pika,No S. chamaejasme,2022,adf,29.5,July,0.29713541666666665
4,no pika,No S. chamaejasme,2022,ndf,60.4,July,0.6029166666666667
4,no pika,No S. chamaejasme,2022,ee_percent,3.2,NA,0.046625
