block,pika_treatment,posion_plant_treatment,plant,bites_steps_ratio,month,bites_steps_ratio_beta,yak
1,no pika,No S. chamaejasme,sedges,0.27,June,0.27119791666666665,B1_AA_yak_1
1,no pika,No S. chamaejasme,grasses,0.1,June,0.10208333333333335,B1_AA_yak_1
1,no pika,No S. chamaejasme,forbs,0.12,June,0.12197916666666665,B1_AA_yak_1
1,no pika,No S. chamaejasme,sedges,0.43,June,0.43036458333333333,B1_AA_yak_2
1,no pika,No S. chamaejasme,grasses,0.22,June,0.22145833333333334,B1_AA_yak_2
1,no pika,No S. chamaejasme,forbs,0.19,June,0.19161458333333334,B1_AA_yak_2
1,no pika,No S. chamaejasme,sedges,0.69,July,0.6890104166666666,B1_AA_yak_1
1,no pika,No S. chamaejasme,grasses,0.41,July,0.41046875,B1_AA_yak_1
1,no pika,No S. chamaejasme,forbs,0.1,July,0.10208333333333335,B1_AA_yak_1
1,no pika,No S. chamaejasme,sedges,0.81,July,0.8083854166666667,B1_AA_yak_2
1,no pika,No S. chamaejasme,grasses,0.33,July,0.33088541666666665,B1_AA_yak_2
1,no pika,No S. chamaejasme,forbs,0.19,July,0.19161458333333334,B1_AA_yak_2
1,no pika,No S. chamaejasme,sedges,0.65,August,0.6492187500000001,B1_AA_yak_1
1,no pika,No S. chamaejasme,grasses,0.34,August,0.3408333333333333,B1_AA_yak_1
1,no pika,No S. chamaejasme,forbs,0.18,August,0.18166666666666664,B1_AA_yak_1
1,no pika,No S. chamaejasme,sedges,0.7,August,0.6989583333333332,B1_AA_yak_2
1,no pika,No S. chamaejasme,grasses,0.3,August,0.30104166666666665,B1_AA_yak_2
1,no pika,No S. chamaejasme,forbs,0.13,August,0.13192708333333333,B1_AA_yak_2
2,no pika,No S. chamaejasme,sedges,0.49,June,0.49005208333333333,B2_AA_yak_1
2,no pika,No S. chamaejasme,grasses,0.28,June,0.2811458333333334,B2_AA_yak_1
2,no pika,No S. chamaejasme,forbs,0.22,June,0.22145833333333334,B2_AA_yak_1
2,no pika,No S. chamaejasme,sedges,0.67,June,0.6691145833333335,B2_AA_yak_2
2,no pika,No S. chamaejasme,grasses,0.28,June,0.2811458333333334,B2_AA_yak_2
2,no pika,No S. chamaejasme,forbs,0.21,June,0.21151041666666667,B2_AA_yak_2
2,no pika,No S. chamaejasme,sedges,0.38,July,0.380625,B2_AA_yak_1
2,no pika,No S. chamaejasme,grasses,0.14,July,0.141875,B2_AA_yak_1
2,no pika,No S. chamaejasme,forbs,0.1,July,0.10208333333333335,B2_AA_yak_1
2,no pika,No S. chamaejasme,sedges,0.82,July,0.8183333333333334,B2_AA_yak_2
2,no pika,No S. chamaejasme,grasses,0.41,July,0.41046875,B2_AA_yak_2
2,no pika,No S. chamaejasme,forbs,0.23,July,0.23140625,B2_AA_yak_2
2,no pika,No S. chamaejasme,sedges,0.48,August,0.4801041666666666,B2_AA_yak_1
2,no pika,No S. chamaejasme,grasses,0.23,August,0.23140625,B2_AA_yak_1
2,no pika,No S. chamaejasme,forbs,0.22,August,0.22145833333333334,B2_AA_yak_1
2,no pika,No S. chamaejasme,sedges,0.47,August,0.47015625,B2_AA_yak_2
2,no pika,No S. chamaejasme,grasses,0.34,August,0.3408333333333333,B2_AA_yak_2
2,no pika,No S. chamaejasme,forbs,0.19,August,0.19161458333333334,B2_AA_yak_2
3,no pika,No S. chamaejasme,sedges,0.65,June,0.6492187500000001,B3_AA_yak_1
3,no pika,No S. chamaejasme,grasses,0.23,June,0.23140625,B3_AA_yak_1
3,no pika,No S. chamaejasme,forbs,0.16,June,0.16177083333333334,B3_AA_yak_1
3,no pika,No S. chamaejasme,sedges,0.49,June,0.49005208333333333,B3_AA_yak_2
3,no pika,No S. chamaejasme,grasses,0.13,June,0.13192708333333333,B3_AA_yak_2
3,no pika,No S. chamaejasme,forbs,0.12,June,0.12197916666666665,B3_AA_yak_2
3,no pika,No S. chamaejasme,sedges,0.35,July,0.35078125,B3_AA_yak_1
3,no pika,No S. chamaejasme,grasses,0.1,July,0.10208333333333335,B3_AA_yak_1
3,no pika,No S. chamaejasme,forbs,0.04,July,0.042395833333333334,B3_AA_yak_1
3,no pika,No S. chamaejasme,sedges,0.43,July,0.43036458333333333,B3_AA_yak_2
3,no pika,No S. chamaejasme,grasses,0.16,July,0.16177083333333334,B3_AA_yak_2
3,no pika,No S. chamaejasme,forbs,0.09,July,0.09213541666666665,B3_AA_yak_2
3,no pika,No S. chamaejasme,sedges,0.37,August,0.3706770833333333,B3_AA_yak_1
3,no pika,No S. chamaejasme,grasses,0.17,August,0.17171875,B3_AA_yak_1
3,no pika,No S. chamaejasme,forbs,0.06,August,0.06229166666666666,B3_AA_yak_1
3,no pika,No S. chamaejasme,sedges,0.44,August,0.44031250000000005,B3_AA_yak_2
3,no pika,No S. chamaejasme,grasses,0.15,August,0.15182291666666667,B3_AA_yak_2
3,no pika,No S. chamaejasme,forbs,0.07,August,0.07223958333333334,B3_AA_yak_2
4,no pika,No S. chamaejasme,sedges,0.4,June,0.4005208333333334,B4_AA_yak_1
