block,pika_treatment,posion_plant_treatment,year,plant,forage_efficiency,yak,month
1,no pika,No S. chamaejasme,2022,sedges,197.7,B1_AA_yak_1,June
1,no pika,No S. chamaejasme,2022,grasses,74.9,B1_AA_yak_1,June
1,no pika,No S. chamaejasme,2022,forbs,82.9,B1_AA_yak_1,June
1,no pika,No S. chamaejasme,2022,sedges,247.3,B1_AA_yak_2,June
1,no pika,No S. chamaejasme,2022,grasses,124.1,B1_AA_yak_2,June
1,no pika,No S. chamaejasme,2022,forbs,105.8,B1_AA_yak_2,June
1,no pika,No S. chamaejasme,2022,sedges,340.6,B1_AA_yak_1,July
1,no pika,No S. chamaejasme,2022,grasses,202.6,B1_AA_yak_1,July
1,no pika,No S. chamaejasme,2022,forbs,49.6,B1_AA_yak_1,July
1,no pika,No S. chamaejasme,2022,sedges,369.9,B1_AA_yak_2,July
1,no pika,No S. chamaejasme,2022,grasses,149.8,B1_AA_yak_2,July
1,no pika,No S. chamaejasme,2022,forbs,87.1,B1_AA_yak_2,July
1,no pika,No S. chamaejasme,2022,sedges,321.4,B1_AA_yak_1,August
1,no pika,No S. chamaejasme,2022,grasses,168.6,B1_AA_yak_1,August
1,no pika,No S. chamaejasme,2022,forbs,90.8,B1_AA_yak_1,August
1,no pika,No S. chamaejasme,2022,sedges,263.3,B1_AA_yak_2,August
1,no pika,No S. chamaejasme,2022,grasses,111.8,B1_AA_yak_2,August
1,no pika,No S. chamaejasme,2022,forbs,47.3,B1_AA_yak_2,August
2,no pika,No S. chamaejasme,2022,sedges,300.8,B2_AA_yak_1,June
2,no pika,No S. chamaejasme,2022,grasses,174.6,B2_AA_yak_1,June
2,no pika,No S. chamaejasme,2022,forbs,132.3,B2_AA_yak_1,June
2,no pika,No S. chamaejasme,2022,sedges,282.9,B2_AA_yak_2,June
2,no pika,No S. chamaejasme,2022,grasses,118.7,B2_AA_yak_2,June
2,no pika,No S. chamaejasme,2022,forbs,91.1,B2_AA_yak_2,June
2,no pika,No S. chamaejasme,2022,sedges,263.8,B2_AA_yak_1,July
2,no pika,No S. chamaejasme,2022,grasses,100.6,B2_AA_yak_1,July
2,no pika,No S. chamaejasme,2022,forbs,69.3,B2_AA_yak_1,July
2,no pika,No S. chamaejasme,2022,sedges,393.1,B2_AA_yak_2,July
2,no pika,No S. chamaejasme,2022,grasses,197.7,B2_AA_yak_2,July
2,no pika,No S. chamaejasme,2022,forbs,108,B2_AA_yak_2,July
2,no pika,No S. chamaejasme,2022,sedges,273.4,B2_AA_yak_1,August
2,no pika,No S. chamaejasme,2022,grasses,128.9,B2_AA_yak_1,August
2,no pika,No S. chamaejasme,2022,forbs,122.7,B2_AA_yak_1,August
2,no pika,No S. chamaejasme,2022,sedges,302.3,B2_AA_yak_2,August
2,no pika,No S. chamaejasme,2022,grasses,214.6,B2_AA_yak_2,August
2,no pika,No S. chamaejasme,2022,forbs,121.6,B2_AA_yak_2,August
3,no pika,No S. chamaejasme,2022,sedges,360.4,B3_AA_yak_1,June
3,no pika,No S. chamaejasme,2022,grasses,128.2,B3_AA_yak_1,June
3,no pika,No S. chamaejasme,2022,forbs,89.6,B3_AA_yak_1,June
3,no pika,No S. chamaejasme,2022,sedges,262.3,B3_AA_yak_2,June
3,no pika,No S. chamaejasme,2022,grasses,71.1,B3_AA_yak_2,June
3,no pika,No S. chamaejasme,2022,forbs,62.3,B3_AA_yak_2,June
3,no pika,No S. chamaejasme,2022,sedges,223.6,B3_AA_yak_1,July
3,no pika,No S. chamaejasme,2022,grasses,63,B3_AA_yak_1,July
3,no pika,No S. chamaejasme,2022,forbs,24.8,B3_AA_yak_1,July
3,no pika,No S. chamaejasme,2022,sedges,297.3,B3_AA_yak_2,July
3,no pika,No S. chamaejasme,2022,grasses,113.3,B3_AA_yak_2,July
3,no pika,No S. chamaejasme,2022,forbs,60.3,B3_AA_yak_2,July
3,no pika,No S. chamaejasme,2022,sedges,252.9,B3_AA_yak_1,August
3,no pika,No S. chamaejasme,2022,grasses,113.5,B3_AA_yak_1,August
3,no pika,No S. chamaejasme,2022,forbs,41.6,B3_AA_yak_1,August
3,no pika,No S. chamaejasme,2022,sedges,194.9,B3_AA_yak_2,August
3,no pika,No S. chamaejasme,2022,grasses,64,B3_AA_yak_2,August
3,no pika,No S. chamaejasme,2022,forbs,29.3,B3_AA_yak_2,August
4,no pika,No S. chamaejasme,2022,sedges,296.8,B4_AA_yak_1,June
4,no pika,No S. chamaejasme,2022,grasses,204.3,B4_AA_yak_1,June
4,no pika,No S. chamaejasme,2022,forbs,80,B4_AA_yak_1,June
4,no pika,No S. chamaejasme,2022,sedges,273.6,B4_AA_yak_2,June
4,no pika,No S. chamaejasme,2022,grasses,107.1,B4_AA_yak_2,June
4,no pika,No S. chamaejasme,2022,forbs,93,B4_AA_yak_2,June
4,no pika,No S. chamaejasme,2022,sedges,352.9,B4_AA_yak_1,July
4,no pika,No S. chamaejasme,2022,grasses,186.2,B4_AA_yak_1,July
4,no pika,No S. chamaejasme,2022,forbs,118.8,B4_AA_yak_1,July
4,no pika,No S. chamaejasme,2022,sedges,285.7,B4_AA_yak_2,July
4,no pika,No S. chamaejasme,2022,grasses,204.4,B4_AA_yak_2,July
4,no pika,No S. chamaejasme,2022,forbs,97.4,B4_AA_yak_2,July
4,no pika,No S. chamaejasme,2022,sedges,298.7,B4_AA_yak_1,August
4,no pika,No S. chamaejasme,2022,grasses,205.1,B4_AA_yak_1,August
4,no pika,No S. chamaejasme,2022,forbs,43.6,B4_AA_yak_1,August
4,no pika,No S. chamaejasme,2022,sedges,182.7,B4_AA_yak_2,August
4,no pika,No S. chamaejasme,2022,grasses,159.1,B4_AA_yak_2,August
4,no pika,No S. chamaejasme,2022,forbs,119.6,B4_AA_yak_2,August
1,pika,No S. chamaejasme,2022,sedges,262.7,B1_PA_yak_1,June
1,pika,No S. chamaejasme,2022,grasses,93.1,B1_PA_yak_1,June
1,pika,No S. chamaejasme,2022,forbs,79,B1_PA_yak_1,June
1,pika,No S. chamaejasme,2022,sedges,220.3,B1_PA_yak_2,June
1,pika,No S. chamaejasme,2022,grasses,126.9,B1_PA_yak_2,June
1,pika,No S. chamaejasme,2022,forbs,32.4,B1_PA_yak_2,June
1,pika,No S. chamaejasme,2022,sedges,248.4,B1_PA_yak_1,July
1,pika,No S. chamaejasme,2022,grasses,81.1,B1_PA_yak_1,July
1,pika,No S. chamaejasme,2022,forbs,32,B1_PA_yak_1,July
1,pika,No S. chamaejasme,2022,sedges,248.1,B1_PA_yak_2,July
1,pika,No S. chamaejasme,2022,grasses,127.1,B1_PA_yak_2,July
1,pika,No S. chamaejasme,2022,forbs,40,B1_PA_yak_2,July
1,pika,No S. chamaejasme,2022,sedges,289.3,B1_PA_yak_1,August
1,pika,No S. chamaejasme,2022,grasses,143.8,B1_PA_yak_1,August
1,pika,No S. chamaejasme,2022,forbs,86.7,B1_PA_yak_1,August
1,pika,No S. chamaejasme,2022,sedges,282.3,B1_PA_yak_2,August
1,pika,No S. chamaejasme,2022,grasses,168.6,B1_PA_yak_2,August
1,pika,No S. chamaejasme,2022,forbs,97.3,B1_PA_yak_2,August
2,pika,No S. chamaejasme,2022,sedges,289.4,B2_PA_yak_1,June
2,pika,No S. chamaejasme,2022,grasses,153.6,B2_PA_yak_1,June
2,pika,No S. chamaejasme,2022,forbs,82.6,B2_PA_yak_1,June
2,pika,No S. chamaejasme,2022,sedges,211.6,B2_PA_yak_2,June
2,pika,No S. chamaejasme,2022,grasses,68.1,B2_PA_yak_2,June
2,pika,No S. chamaejasme,2022,forbs,122.6,B2_PA_yak_2,June
2,pika,No S. chamaejasme,2022,sedges,268.7,B2_PA_yak_1,July
2,pika,No S. chamaejasme,2022,grasses,137.6,B2_PA_yak_1,July
2,pika,No S. chamaejasme,2022,forbs,124.9,B2_PA_yak_1,July
2,pika,No S. chamaejasme,2022,sedges,205.3,B2_PA_yak_2,July
2,pika,No S. chamaejasme,2022,grasses,100,B2_PA_yak_2,July
2,pika,No S. chamaejasme,2022,forbs,104.4,B2_PA_yak_2,July
2,pika,No S. chamaejasme,2022,sedges,254.7,B2_PA_yak_1,August
2,pika,No S. chamaejasme,2022,grasses,161.3,B2_PA_yak_1,August
2,pika,No S. chamaejasme,2022,forbs,129.8,B2_PA_yak_1,August
2,pika,No S. chamaejasme,2022,sedges,298.7,B2_PA_yak_2,August
2,pika,No S. chamaejasme,2022,grasses,129.6,B2_PA_yak_2,August
2,pika,No S. chamaejasme,2022,forbs,144.2,B2_PA_yak_2,August
3,pika,No S. chamaejasme,2022,sedges,267.8,B3_PA_yak_1,June
3,pika,No S. chamaejasme,2022,grasses,102.7,B3_PA_yak_1,June
3,pika,No S. chamaejasme,2022,forbs,77.9,B3_PA_yak_1,June
3,pika,No S. chamaejasme,2022,sedges,318.4,B3_PA_yak_2,June
3,pika,No S. chamaejasme,2022,grasses,171.6,B3_PA_yak_2,June
3,pika,No S. chamaejasme,2022,forbs,143,B3_PA_yak_2,June
3,pika,No S. chamaejasme,2022,sedges,284.9,B3_PA_yak_1,July
3,pika,No S. chamaejasme,2022,grasses,124,B3_PA_yak_1,July
3,pika,No S. chamaejasme,2022,forbs,21.2,B3_PA_yak_1,July
3,pika,No S. chamaejasme,2022,sedges,336.6,B3_PA_yak_2,July
3,pika,No S. chamaejasme,2022,grasses,163.1,B3_PA_yak_2,July
3,pika,No S. chamaejasme,2022,forbs,81,B3_PA_yak_2,July
3,pika,No S. chamaejasme,2022,sedges,350.8,B3_PA_yak_1,August
3,pika,No S. chamaejasme,2022,grasses,153.3,B3_PA_yak_1,August
3,pika,No S. chamaejasme,2022,forbs,101.1,B3_PA_yak_1,August
3,pika,No S. chamaejasme,2022,sedges,363.8,B3_PA_yak_2,August
3,pika,No S. chamaejasme,2022,grasses,158.7,B3_PA_yak_2,August
3,pika,No S. chamaejasme,2022,forbs,153.5,B3_PA_yak_2,August
4,pika,No S. chamaejasme,2022,sedges,253,B4_PA_yak_1,June
4,pika,No S. chamaejasme,2022,grasses,128.2,B4_PA_yak_1,June
4,pika,No S. chamaejasme,2022,forbs,72.8,B4_PA_yak_1,June
4,pika,No S. chamaejasme,2022,sedges,323.1,B4_PA_yak_2,June
4,pika,No S. chamaejasme,2022,grasses,180.3,B4_PA_yak_2,June
4,pika,No S. chamaejasme,2022,forbs,102.9,B4_PA_yak_2,June
4,pika,No S. chamaejasme,2022,sedges,302.3,B4_PA_yak_1,July
4,pika,No S. chamaejasme,2022,grasses,118.8,B4_PA_yak_1,July
4,pika,No S. chamaejasme,2022,forbs,33.6,B4_PA_yak_1,July
4,pika,No S. chamaejasme,2022,sedges,204.7,B4_PA_yak_2,July
4,pika,No S. chamaejasme,2022,grasses,218,B4_PA_yak_2,July
4,pika,No S. chamaejasme,2022,forbs,48.4,B4_PA_yak_2,July
4,pika,No S. chamaejasme,2022,sedges,242.6,B4_PA_yak_1,August
4,pika,No S. chamaejasme,2022,grasses,227.1,B4_PA_yak_1,August
4,pika,No S. chamaejasme,2022,forbs,110.7,B4_PA_yak_1,August
4,pika,No S. chamaejasme,2022,sedges,301.9,B4_PA_yak_2,August
4,pika,No S. chamaejasme,2022,grasses,196.9,B4_PA_yak_2,August
4,pika,No S. chamaejasme,2022,forbs,182.9,B4_PA_yak_2,August
1,no pika,S. chamaejasme,2022,sedges,157.3,B1_AP_yak_1,June
1,no pika,S. chamaejasme,2022,grasses,78.8,B1_AP_yak_1,June
1,no pika,S. chamaejasme,2022,forbs,104.8,B1_AP_yak_1,June
1,no pika,S. chamaejasme,2022,sedges,213.1,B1_AP_yak_2,June
1,no pika,S. chamaejasme,2022,grasses,98.3,B1_AP_yak_2,June
1,no pika,S. chamaejasme,2022,forbs,86.6,B1_AP_yak_2,June
1,no pika,S. chamaejasme,2022,sedges,152.3,B1_AP_yak_1,July
1,no pika,S. chamaejasme,2022,grasses,88.1,B1_AP_yak_1,July
1,no pika,S. chamaejasme,2022,forbs,109.6,B1_AP_yak_1,July
1,no pika,S. chamaejasme,2022,sedges,309.1,B1_AP_yak_2,July
1,no pika,S. chamaejasme,2022,grasses,114.7,B1_AP_yak_2,July
