block,pika_treatment,posion_plant_treatment,year,plant,cover,month,cover_beta
1,no pika,No S. chamaejasme,2022,s_chamaejasme,2,June,0.025000000000000005
1,no pika,No S. chamaejasme,2022,sedges,56,June,0.5593750000000001
1,no pika,No S. chamaejasme,2022,grasses,21,June,0.21302083333333333
1,no pika,No S. chamaejasme,2022,forbs,37,June,0.37135416666666665
1,no pika,No S. chamaejasme,2022,s_chamaejasme,4,July,0.044791666666666674
1,no pika,No S. chamaejasme,2022,sedges,58,July,0.5791666666666666
1,no pika,No S. chamaejasme,2022,grasses,28,July,0.28229166666666666
1,no pika,No S. chamaejasme,2022,forbs,36,July,0.36145833333333327
1,no pika,No S. chamaejasme,2022,s_chamaejasme,0,August,0.005208333333333333
1,no pika,No S. chamaejasme,2022,sedges,63,August,0.6286458333333333
1,no pika,No S. chamaejasme,2022,grasses,21,August,0.21302083333333333
1,no pika,No S. chamaejasme,2022,forbs,32,August,0.321875
2,no pika,No S. chamaejasme,2022,s_chamaejasme,0,June,0.005208333333333333
2,no pika,No S. chamaejasme,2022,sedges,43,June,0.43072916666666666
2,no pika,No S. chamaejasme,2022,grasses,14,June,0.14375000000000002
2,no pika,No S. chamaejasme,2022,forbs,21,June,0.21302083333333333
2,no pika,No S. chamaejasme,2022,s_chamaejasme,5,July,0.0546875
2,no pika,No S. chamaejasme,2022,sedges,62,July,0.61875
2,no pika,No S. chamaejasme,2022,grasses,23,July,0.2328125
2,no pika,No S. chamaejasme,2022,forbs,18,July,0.18333333333333332
2,no pika,No S. chamaejasme,2022,s_chamaejasme,2,August,0.025000000000000005
2,no pika,No S. chamaejasme,2022,sedges,67,August,0.6682291666666668
2,no pika,No S. chamaejasme,2022,grasses,19,August,0.19322916666666667
2,no pika,No S. chamaejasme,2022,forbs,22,August,0.22291666666666665
3,no pika,No S. chamaejasme,2022,s_chamaejasme,3,June,0.034895833333333334
3,no pika,No S. chamaejasme,2022,sedges,47,June,0.47031249999999997
3,no pika,No S. chamaejasme,2022,grasses,29,June,0.2921875
3,no pika,No S. chamaejasme,2022,forbs,19,June,0.19322916666666667
