block,pika_treatment,posion_plant_treatment,year,month,active_burrows,emmean,SE,df,lower.CL,upper.CL
1,no pika,No S. chamaejasme,2022,June,12,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,no pika,No S. chamaejasme,2022,July,15,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,no pika,No S. chamaejasme,2022,August,10,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2022,June,27,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2022,July,26,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2022,August,24,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2022,June,39,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2022,July,17,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2022,August,14,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2022,June,13,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2022,July,16,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2022,August,18,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,pika,No S. chamaejasme,2022,June,342,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,pika,No S. chamaejasme,2022,July,127,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,pika,No S. chamaejasme,2022,August,269,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
2,pika,No S. chamaejasme,2022,June,165,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
2,pika,No S. chamaejasme,2022,July,103,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
2,pika,No S. chamaejasme,2022,August,58,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2022,June,228,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2022,July,141,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
3,pika,No S. chamaejasme,2022,August,154,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2022,June,127,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2022,July,143,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
4,pika,No S. chamaejasme,2022,August,170,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,no pika,S. chamaejasme,2022,June,15,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,no pika,S. chamaejasme,2022,July,6,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,no pika,S. chamaejasme,2022,August,12,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2022,June,19,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2022,July,15,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
2,no pika,S. chamaejasme,2022,August,9,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2022,June,21,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2022,July,23,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
3,no pika,S. chamaejasme,2022,August,26,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2022,June,27,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2022,July,19,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
4,no pika,S. chamaejasme,2022,August,13,17.79174183320699,17.10490254837547,89,-16.195335187545773,51.778818853959756
1,pika,S. chamaejasme,2022,June,54,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
1,pika,S. chamaejasme,2022,July,82,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
1,pika,S. chamaejasme,2022,August,127,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2022,June,95,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2022,July,133,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
2,pika,S. chamaejasme,2022,August,156,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2022,June,329,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2022,July,352,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
3,pika,S. chamaejasme,2022,August,216,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2022,June,105,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2022,July,110,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
4,pika,S. chamaejasme,2022,August,88,195.87503011791108,17.104902548340267,89,161.88795309722826,229.8621071385939
1,no pika,No S. chamaejasme,2023,June,23,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,no pika,No S. chamaejasme,2023,July,17,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,no pika,No S. chamaejasme,2023,August,13,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2023,June,19,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2023,July,14,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
2,no pika,No S. chamaejasme,2023,August,6,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2023,June,31,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2023,July,21,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
3,no pika,No S. chamaejasme,2023,August,24,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2023,June,23,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2023,July,35,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
4,no pika,No S. chamaejasme,2023,August,28,20.208539829844728,17.10490254835151,89,-13.77853719086043,54.19561685054988
1,pika,No S. chamaejasme,2023,June,424,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,pika,No S. chamaejasme,2023,July,358,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
1,pika,No S. chamaejasme,2023,August,306,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
2,pika,No S. chamaejasme,2023,June,98,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
2,pika,No S. chamaejasme,2023,July,121,169.87484973752555,17.104902548387642,89,135.8877727167486,203.8619267583025
