block,pika_treatment,posion_plant_treatment,year,plant,forage_efficiency,yak,month
1,no pika,No S. chamaejasme,2022,sedges_6,197.7,yak_1,June
1,no pika,No S. chamaejasme,2022,grasses_7,74.9,yak_1,June
1,no pika,No S. chamaejasme,2022,forbs_8,82.9,yak_1,June
1,no pika,No S. chamaejasme,2022,sedges_9,247.3,yak_2,June
1,no pika,No S. chamaejasme,2022,grasses_10,124.1,yak_2,June
1,no pika,No S. chamaejasme,2022,forbs_11,105.8,yak_2,June
1,no pika,No S. chamaejasme,2022,sedges_12,340.6,yak_1,July
1,no pika,No S. chamaejasme,2022,grasses_13,202.6,yak_1,July
1,no pika,No S. chamaejasme,2022,forbs_14,49.6,yak_1,July
1,no pika,No S. chamaejasme,2022,sedges_15,369.9,yak_2,July
1,no pika,No S. chamaejasme,2022,grasses_16,149.8,yak_2,July
1,no pika,No S. chamaejasme,2022,forbs_17,87.1,yak_2,July
1,no pika,No S. chamaejasme,2022,sedges_18,321.4,yak_1,August
1,no pika,No S. chamaejasme,2022,grasses_19,168.6,yak_1,August
1,no pika,No S. chamaejasme,2022,forbs_20,90.8,yak_1,August
1,no pika,No S. chamaejasme,2022,sedges_21,263.3,yak_2,August
1,no pika,No S. chamaejasme,2022,grasses_22,111.8,yak_2,August
1,no pika,No S. chamaejasme,2022,forbs_23,47.3,yak_2,August
2,no pika,No S. chamaejasme,2022,sedges_6,300.8,yak_1,June
2,no pika,No S. chamaejasme,2022,grasses_7,174.6,yak_1,June
2,no pika,No S. chamaejasme,2022,forbs_8,132.3,yak_1,June
2,no pika,No S. chamaejasme,2022,sedges_9,282.9,yak_2,June
2,no pika,No S. chamaejasme,2022,grasses_10,118.7,yak_2,June
2,no pika,No S. chamaejasme,2022,forbs_11,91.1,yak_2,June
2,no pika,No S. chamaejasme,2022,sedges_12,263.8,yak_1,July
2,no pika,No S. chamaejasme,2022,grasses_13,100.6,yak_1,July
2,no pika,No S. chamaejasme,2022,forbs_14,69.3,yak_1,July
2,no pika,No S. chamaejasme,2022,sedges_15,393.1,yak_2,July
2,no pika,No S. chamaejasme,2022,grasses_16,197.7,yak_2,July
2,no pika,No S. chamaejasme,2022,forbs_17,108,yak_2,July
2,no pika,No S. chamaejasme,2022,sedges_18,273.4,yak_1,August
2,no pika,No S. chamaejasme,2022,grasses_19,128.9,yak_1,August
2,no pika,No S. chamaejasme,2022,forbs_20,122.7,yak_1,August
2,no pika,No S. chamaejasme,2022,sedges_21,302.3,yak_2,August
2,no pika,No S. chamaejasme,2022,grasses_22,214.6,yak_2,August
2,no pika,No S. chamaejasme,2022,forbs_23,121.6,yak_2,August
3,no pika,No S. chamaejasme,2022,sedges_6,360.4,yak_1,June
3,no pika,No S. chamaejasme,2022,grasses_7,128.2,yak_1,June
3,no pika,No S. chamaejasme,2022,forbs_8,89.6,yak_1,June
3,no pika,No S. chamaejasme,2022,sedges_9,262.3,yak_2,June
