block,pika_treatment,posion_plant_treatment,year,plant,forage_quality,month
1,no pika,No S. chamaejasme,2022,cp,8.4,June
1,no pika,No S. chamaejasme,2022,adf,30.9,June
1,no pika,No S. chamaejasme,2022,ndf,62.5,June
1,no pika,No S. chamaejasme,2022,cp,8.7,June
1,no pika,No S. chamaejasme,2022,adf,32.2,July
1,no pika,No S. chamaejasme,2022,ndf,62.6,July
1,no pika,No S. chamaejasme,2022,ee_percent,3.1,NA
1,no pika,No S. chamaejasme,2022,cp,9.2,July
1,no pika,No S. chamaejasme,2022,adf,32.4,August
1,no pika,No S. chamaejasme,2022,ndf,63.6,August
2,no pika,No S. chamaejasme,2022,cp,8.1,June
2,no pika,No S. chamaejasme,2022,adf,30.8,June
2,no pika,No S. chamaejasme,2022,ndf,63.9,June
2,no pika,No S. chamaejasme,2022,cp,8,June
2,no pika,No S. chamaejasme,2022,adf,31.8,July
2,no pika,No S. chamaejasme,2022,ndf,65.4,July
2,no pika,No S. chamaejasme,2022,ee_percent,3.2,NA
2,no pika,No S. chamaejasme,2022,cp,8.1,July
2,no pika,No S. chamaejasme,2022,adf,33.5,August
2,no pika,No S. chamaejasme,2022,ndf,66.5,August
3,no pika,No S. chamaejasme,2022,cp,7.9,June
3,no pika,No S. chamaejasme,2022,adf,30.3,June
3,no pika,No S. chamaejasme,2022,ndf,61.6,June
3,no pika,No S. chamaejasme,2022,cp,8.9,June
3,no pika,No S. chamaejasme,2022,adf,30.1,July
3,no pika,No S. chamaejasme,2022,ndf,62.1,July
3,no pika,No S. chamaejasme,2022,ee_percent,3,NA
3,no pika,No S. chamaejasme,2022,cp,9.3,July
3,no pika,No S. chamaejasme,2022,adf,31.2,August
3,no pika,No S. chamaejasme,2022,ndf,63.1,August
4,no pika,No S. chamaejasme,2022,cp,8.5,June
4,no pika,No S. chamaejasme,2022,adf,30.2,June
4,no pika,No S. chamaejasme,2022,ndf,60.1,June
4,no pika,No S. chamaejasme,2022,cp,8.3,June
4,no pika,No S. chamaejasme,2022,adf,29.5,July
4,no pika,No S. chamaejasme,2022,ndf,60.4,July
4,no pika,No S. chamaejasme,2022,ee_percent,3.2,NA
4,no pika,No S. chamaejasme,2022,cp,7.7,July
4,no pika,No S. chamaejasme,2022,adf,30.1,August
4,no pika,No S. chamaejasme,2022,ndf,59.9,August
1,pika,No S. chamaejasme,2022,cp,8,June
1,pika,No S. chamaejasme,2022,adf,29.6,June
1,pika,No S. chamaejasme,2022,ndf,62.4,June
1,pika,No S. chamaejasme,2022,cp,8.5,June
1,pika,No S. chamaejasme,2022,adf,29.8,July
1,pika,No S. chamaejasme,2022,ndf,63.2,July
1,pika,No S. chamaejasme,2022,ee_percent,2.8,NA
1,pika,No S. chamaejasme,2022,cp,8.9,July
1,pika,No S. chamaejasme,2022,adf,31.6,August
1,pika,No S. chamaejasme,2022,ndf,63.4,August
2,pika,No S. chamaejasme,2022,cp,8.3,June
2,pika,No S. chamaejasme,2022,adf,30,June
2,pika,No S. chamaejasme,2022,ndf,60,June
2,pika,No S. chamaejasme,2022,cp,8.4,June
2,pika,No S. chamaejasme,2022,adf,32.3,July
2,pika,No S. chamaejasme,2022,ndf,59.8,July
2,pika,No S. chamaejasme,2022,ee_percent,2.9,NA
2,pika,No S. chamaejasme,2022,cp,9.4,July
2,pika,No S. chamaejasme,2022,adf,33.9,August
2,pika,No S. chamaejasme,2022,ndf,59.2,August
3,pika,No S. chamaejasme,2022,cp,8.4,June
3,pika,No S. chamaejasme,2022,adf,30.1,June
3,pika,No S. chamaejasme,2022,ndf,65.8,June
3,pika,No S. chamaejasme,2022,cp,9.3,June
3,pika,No S. chamaejasme,2022,adf,30.1,July
3,pika,No S. chamaejasme,2022,ndf,64.5,July
3,pika,No S. chamaejasme,2022,ee_percent,3.1,NA
3,pika,No S. chamaejasme,2022,cp,9.6,July
3,pika,No S. chamaejasme,2022,adf,30.6,August
3,pika,No S. chamaejasme,2022,ndf,64.7,August
4,pika,No S. chamaejasme,2022,cp,7.8,June
4,pika,No S. chamaejasme,2022,adf,29.7,June
4,pika,No S. chamaejasme,2022,ndf,64.5,June
4,pika,No S. chamaejasme,2022,cp,8.7,June
4,pika,No S. chamaejasme,2022,adf,29.9,July
4,pika,No S. chamaejasme,2022,ndf,65,July
4,pika,No S. chamaejasme,2022,ee_percent,3.3,NA
4,pika,No S. chamaejasme,2022,cp,9.5,July
4,pika,No S. chamaejasme,2022,adf,31.4,August
4,pika,No S. chamaejasme,2022,ndf,65.8,August
1,no pika,S. chamaejasme,2022,cp,6.9,June
1,no pika,S. chamaejasme,2022,adf,29.6,June
1,no pika,S. chamaejasme,2022,ndf,60.4,June
1,no pika,S. chamaejasme,2022,cp,7.6,June
1,no pika,S. chamaejasme,2022,adf,30.8,July
1,no pika,S. chamaejasme,2022,ndf,59.8,July
1,no pika,S. chamaejasme,2022,ee_percent,3.4,NA
