block,pika_treatment,posion_plant_treatment,year,plant,cover,month
1,no pika,No S. chamaejasme,2022,s_chamaejasme,2,June
1,no pika,No S. chamaejasme,2022,sedges,56,June
1,no pika,No S. chamaejasme,2022,grasses,21,June
1,no pika,No S. chamaejasme,2022,forbs,37,June
1,no pika,No S. chamaejasme,2022,s_chamaejasme,4,July
1,no pika,No S. chamaejasme,2022,sedges,58,July
1,no pika,No S. chamaejasme,2022,grasses,28,July
1,no pika,No S. chamaejasme,2022,forbs,36,July
1,no pika,No S. chamaejasme,2022,s_chamaejasme,0,August
1,no pika,No S. chamaejasme,2022,sedges,63,August
1,no pika,No S. chamaejasme,2022,grasses,21,August
1,no pika,No S. chamaejasme,2022,forbs,32,August
2,no pika,No S. chamaejasme,2022,s_chamaejasme,0,June
2,no pika,No S. chamaejasme,2022,sedges,43,June
2,no pika,No S. chamaejasme,2022,grasses,14,June
2,no pika,No S. chamaejasme,2022,forbs,21,June
2,no pika,No S. chamaejasme,2022,s_chamaejasme,5,July
2,no pika,No S. chamaejasme,2022,sedges,62,July
2,no pika,No S. chamaejasme,2022,grasses,23,July
2,no pika,No S. chamaejasme,2022,forbs,18,July
2,no pika,No S. chamaejasme,2022,s_chamaejasme,2,August
2,no pika,No S. chamaejasme,2022,sedges,67,August
2,no pika,No S. chamaejasme,2022,grasses,19,August
2,no pika,No S. chamaejasme,2022,forbs,22,August
3,no pika,No S. chamaejasme,2022,s_chamaejasme,3,June
3,no pika,No S. chamaejasme,2022,sedges,47,June
3,no pika,No S. chamaejasme,2022,grasses,29,June
3,no pika,No S. chamaejasme,2022,forbs,19,June
3,no pika,No S. chamaejasme,2022,s_chamaejasme,2,July
3,no pika,No S. chamaejasme,2022,sedges,43,July
3,no pika,No S. chamaejasme,2022,grasses,34,July
3,no pika,No S. chamaejasme,2022,forbs,26,July
3,no pika,No S. chamaejasme,2022,s_chamaejasme,3,August
3,no pika,No S. chamaejasme,2022,sedges,56,August
3,no pika,No S. chamaejasme,2022,grasses,27,August
3,no pika,No S. chamaejasme,2022,forbs,27,August
4,no pika,No S. chamaejasme,2022,s_chamaejasme,5,June
4,no pika,No S. chamaejasme,2022,sedges,40,June
4,no pika,No S. chamaejasme,2022,grasses,23,June
4,no pika,No S. chamaejasme,2022,forbs,13,June
4,no pika,No S. chamaejasme,2022,s_chamaejasme,7,July
