block,pika_treatment,posion_plant_treatment,year,plant,forage_efficiency,yak,month
1,no pika,No S. chamaejasme,2022,sedges_6,197.7,yak_1,June
1,no pika,No S. chamaejasme,2022,grasses_7,74.9,yak_1,June
1,no pika,No S. chamaejasme,2022,forbs_8,82.9,yak_1,June
1,no pika,No S. chamaejasme,2022,total_9,355.5,yak_1,June
1,no pika,No S. chamaejasme,2022,sedges_10,247.3,yak_2,June
1,no pika,No S. chamaejasme,2022,grasses_11,124.1,yak_2,June
1,no pika,No S. chamaejasme,2022,forbs_12,105.8,yak_2,June
1,no pika,No S. chamaejasme,2022,total_13,477.2,yak_2,June
1,no pika,No S. chamaejasme,2022,sedges_14,340.6,yak_1,July
1,no pika,No S. chamaejasme,2022,grasses_15,202.6,yak_1,July
1,no pika,No S. chamaejasme,2022,forbs_16,49.6,yak_1,July
1,no pika,No S. chamaejasme,2022,total_17,592.8,yak_1,July
1,no pika,No S. chamaejasme,2022,sedges_18,369.9,yak_2,July
1,no pika,No S. chamaejasme,2022,grasses_19,149.8,yak_2,July
1,no pika,No S. chamaejasme,2022,forbs_20,87.1,yak_2,July
1,no pika,No S. chamaejasme,2022,total_21,606.8,yak_2,July
1,no pika,No S. chamaejasme,2022,sedges_22,321.4,yak_1,August
1,no pika,No S. chamaejasme,2022,grasses_23,168.6,yak_1,August
1,no pika,No S. chamaejasme,2022,forbs_24,90.8,yak_1,August
1,no pika,No S. chamaejasme,2022,total_25,580.8,yak_1,August
1,no pika,No S. chamaejasme,2022,sedges_26,263.3,yak_1,August
1,no pika,No S. chamaejasme,2022,grasses_27,111.8,yak_1,August
1,no pika,No S. chamaejasme,2022,forbs_28,47.3,yak_1,August
1,no pika,No S. chamaejasme,2022,total_29,422.3,yak_1,August
2,no pika,No S. chamaejasme,2022,sedges_6,300.8,yak_1,June
2,no pika,No S. chamaejasme,2022,grasses_7,174.6,yak_1,June
2,no pika,No S. chamaejasme,2022,forbs_8,132.3,yak_1,June
2,no pika,No S. chamaejasme,2022,total_9,607.6,yak_1,June
2,no pika,No S. chamaejasme,2022,sedges_10,282.9,yak_2,June
2,no pika,No S. chamaejasme,2022,grasses_11,118.7,yak_2,June
2,no pika,No S. chamaejasme,2022,forbs_12,91.1,yak_2,June
2,no pika,No S. chamaejasme,2022,total_13,492.7,yak_2,June
2,no pika,No S. chamaejasme,2022,sedges_14,263.8,yak_1,July
2,no pika,No S. chamaejasme,2022,grasses_15,100.6,yak_1,July
2,no pika,No S. chamaejasme,2022,forbs_16,69.3,yak_1,July
2,no pika,No S. chamaejasme,2022,total_17,433.8,yak_1,July
2,no pika,No S. chamaejasme,2022,sedges_18,393.1,yak_2,July
2,no pika,No S. chamaejasme,2022,grasses_19,197.7,yak_2,July
2,no pika,No S. chamaejasme,2022,forbs_20,108,yak_2,July
2,no pika,No S. chamaejasme,2022,total_21,698.8,yak_2,July
2,no pika,No S. chamaejasme,2022,sedges_22,273.4,yak_1,August
