block,pika_treatment,posion_plant_treatment,year,yak,total_steps,month
1,no pika,No S. chamaejasme,2022,yak_1_6,719,June
1,no pika,No S. chamaejasme,2022,yak_2_7,571,June
1,no pika,No S. chamaejasme,2022,yak_1_8,495,July
1,no pika,No S. chamaejasme,2022,yak_2_9,454,July
1,no pika,No S. chamaejasme,2022,yak_1_10,497,August
1,no pika,No S. chamaejasme,2022,yak_2_11,374,August
2,no pika,No S. chamaejasme,2022,yak_1_6,613,June
2,no pika,No S. chamaejasme,2022,yak_2_7,425,June
2,no pika,No S. chamaejasme,2022,yak_1_8,699,July
2,no pika,No S. chamaejasme,2022,yak_2_9,480,July
2,no pika,No S. chamaejasme,2022,yak_1_10,570,August
2,no pika,No S. chamaejasme,2022,yak_2_11,637,August
3,no pika,No S. chamaejasme,2022,yak_1_6,554,June
3,no pika,No S. chamaejasme,2022,yak_2_7,531,June
3,no pika,No S. chamaejasme,2022,yak_1_8,634,July
3,no pika,No S. chamaejasme,2022,yak_2_9,699,July
3,no pika,No S. chamaejasme,2022,yak_1_10,675,August
3,no pika,No S. chamaejasme,2022,yak_2_11,441,August
4,no pika,No S. chamaejasme,2022,yak_1_6,736,June
4,no pika,No S. chamaejasme,2022,yak_2_7,654,June
4,no pika,No S. chamaejasme,2022,yak_1_8,710,July
4,no pika,No S. chamaejasme,2022,yak_2_9,772,July
4,no pika,No S. chamaejasme,2022,yak_1_10,776,August
4,no pika,No S. chamaejasme,2022,yak_2_11,735,August
1,pika,No S. chamaejasme,2022,yak_1_6,478,June
1,pika,No S. chamaejasme,2022,yak_2_7,411,June
1,pika,No S. chamaejasme,2022,yak_1_8,496,July
1,pika,No S. chamaejasme,2022,yak_2_9,707,July
1,pika,No S. chamaejasme,2022,yak_1_10,646,August
1,pika,No S. chamaejasme,2022,yak_2_11,627,August
2,pika,No S. chamaejasme,2022,yak_1_6,648,June
2,pika,No S. chamaejasme,2022,yak_2_7,710,June
2,pika,No S. chamaejasme,2022,yak_1_8,561,July
2,pika,No S. chamaejasme,2022,yak_2_9,437,July
2,pika,No S. chamaejasme,2022,yak_1_10,527,August
2,pika,No S. chamaejasme,2022,yak_2_11,474,August
3,pika,No S. chamaejasme,2022,yak_1_6,530,June
3,pika,No S. chamaejasme,2022,yak_2_7,590,June
3,pika,No S. chamaejasme,2022,yak_1_8,605,July
3,pika,No S. chamaejasme,2022,yak_2_9,584,July
3,pika,No S. chamaejasme,2022,yak_1_10,448,August
3,pika,No S. chamaejasme,2022,yak_2_11,614,August
4,pika,No S. chamaejasme,2022,yak_1_6,625,June
4,pika,No S. chamaejasme,2022,yak_2_7,556,June
4,pika,No S. chamaejasme,2022,yak_1_8,498,July
4,pika,No S. chamaejasme,2022,yak_2_9,694,July
4,pika,No S. chamaejasme,2022,yak_1_10,714,August
4,pika,No S. chamaejasme,2022,yak_2_11,535,August
1,no pika,S. chamaejasme,2022,yak_1_6,690,June
1,no pika,S. chamaejasme,2022,yak_2_7,804,June
1,no pika,S. chamaejasme,2022,yak_1_8,521,July
1,no pika,S. chamaejasme,2022,yak_2_9,809,July
1,no pika,S. chamaejasme,2022,yak_1_10,794,August
1,no pika,S. chamaejasme,2022,yak_2_11,716,August
2,no pika,S. chamaejasme,2022,yak_1_6,587,June
2,no pika,S. chamaejasme,2022,yak_2_7,560,June
2,no pika,S. chamaejasme,2022,yak_1_8,619,July
2,no pika,S. chamaejasme,2022,yak_2_9,706,July
2,no pika,S. chamaejasme,2022,yak_1_10,724,August
2,no pika,S. chamaejasme,2022,yak_2_11,603,August
3,no pika,S. chamaejasme,2022,yak_1_6,552,June
3,no pika,S. chamaejasme,2022,yak_2_7,887,June
3,no pika,S. chamaejasme,2022,yak_1_8,757,July
3,no pika,S. chamaejasme,2022,yak_2_9,696,July
3,no pika,S. chamaejasme,2022,yak_1_10,541,August
3,no pika,S. chamaejasme,2022,yak_2_11,795,August
4,no pika,S. chamaejasme,2022,yak_1_6,498,June
4,no pika,S. chamaejasme,2022,yak_2_7,788,June
4,no pika,S. chamaejasme,2022,yak_1_8,553,July
4,no pika,S. chamaejasme,2022,yak_2_9,487,July
4,no pika,S. chamaejasme,2022,yak_1_10,775,August
4,no pika,S. chamaejasme,2022,yak_2_11,698,August
1,pika,S. chamaejasme,2022,yak_1_6,461,June
1,pika,S. chamaejasme,2022,yak_2_7,533,June
