block,pika_treatment,posion_plant_treatment,year,plant,bites_steps_ratio,num,yak_num,month
1,no pika,No S. chamaejasme,2022,sedges,0.27,13,yak_1,June
1,no pika,No S. chamaejasme,2022,grasses,0.1,14,yak_1,June
1,no pika,No S. chamaejasme,2022,forbs,0.12,15,yak_1,June
1,no pika,No S. chamaejasme,2022,sedges,0.43,16,yak_2,June
1,no pika,No S. chamaejasme,2022,grasses,0.22,17,yak_2,June
1,no pika,No S. chamaejasme,2022,forbs,0.19,18,yak_2,June
1,no pika,No S. chamaejasme,2022,sedges,0.69,19,yak_1,July
1,no pika,No S. chamaejasme,2022,grasses,0.41,20,yak_1,July
1,no pika,No S. chamaejasme,2022,forbs,0.1,21,yak_1,July
1,no pika,No S. chamaejasme,2022,sedges,0.81,22,yak_2,July
1,no pika,No S. chamaejasme,2022,grasses,0.33,23,yak_2,July
1,no pika,No S. chamaejasme,2022,forbs,0.19,24,yak_2,July
1,no pika,No S. chamaejasme,2022,sedges,0.65,25,yak_1,August
1,no pika,No S. chamaejasme,2022,grasses,0.34,26,yak_1,August
1,no pika,No S. chamaejasme,2022,forbs,0.18,27,yak_1,August
1,no pika,No S. chamaejasme,2022,sedges,0.7,28,yak_1,August
1,no pika,No S. chamaejasme,2022,grasses,0.3,29,yak_1,August
1,no pika,No S. chamaejasme,2022,forbs,0.13,30,yak_1,August
2,no pika,No S. chamaejasme,2022,sedges,0.49,13,yak_1,June
2,no pika,No S. chamaejasme,2022,grasses,0.28,14,yak_1,June
2,no pika,No S. chamaejasme,2022,forbs,0.22,15,yak_1,June
2,no pika,No S. chamaejasme,2022,sedges,0.67,16,yak_2,June
2,no pika,No S. chamaejasme,2022,grasses,0.28,17,yak_2,June
2,no pika,No S. chamaejasme,2022,forbs,0.21,18,yak_2,June
2,no pika,No S. chamaejasme,2022,sedges,0.38,19,yak_1,July
2,no pika,No S. chamaejasme,2022,grasses,0.14,20,yak_1,July
2,no pika,No S. chamaejasme,2022,forbs,0.1,21,yak_1,July
2,no pika,No S. chamaejasme,2022,sedges,0.82,22,yak_2,July
2,no pika,No S. chamaejasme,2022,grasses,0.41,23,yak_2,July
2,no pika,No S. chamaejasme,2022,forbs,0.23,24,yak_2,July
2,no pika,No S. chamaejasme,2022,sedges,0.48,25,yak_1,August
2,no pika,No S. chamaejasme,2022,grasses,0.23,26,yak_1,August
2,no pika,No S. chamaejasme,2022,forbs,0.22,27,yak_1,August
2,no pika,No S. chamaejasme,2022,sedges,0.47,28,yak_1,August
2,no pika,No S. chamaejasme,2022,grasses,0.34,29,yak_1,August
2,no pika,No S. chamaejasme,2022,forbs,0.19,30,yak_1,August
3,no pika,No S. chamaejasme,2022,sedges,0.65,13,yak_1,June
3,no pika,No S. chamaejasme,2022,grasses,0.23,14,yak_1,June
3,no pika,No S. chamaejasme,2022,forbs,0.16,15,yak_1,June
3,no pika,No S. chamaejasme,2022,sedges,0.49,16,yak_2,June
3,no pika,No S. chamaejasme,2022,grasses,0.13,17,yak_2,June
3,no pika,No S. chamaejasme,2022,forbs,0.12,18,yak_2,June
3,no pika,No S. chamaejasme,2022,sedges,0.35,19,yak_1,July
3,no pika,No S. chamaejasme,2022,grasses,0.1,20,yak_1,July
3,no pika,No S. chamaejasme,2022,forbs,0.04,21,yak_1,July
3,no pika,No S. chamaejasme,2022,sedges,0.43,22,yak_2,July
3,no pika,No S. chamaejasme,2022,grasses,0.16,23,yak_2,July
3,no pika,No S. chamaejasme,2022,forbs,0.09,24,yak_2,July
3,no pika,No S. chamaejasme,2022,sedges,0.37,25,yak_1,August
3,no pika,No S. chamaejasme,2022,grasses,0.17,26,yak_1,August
3,no pika,No S. chamaejasme,2022,forbs,0.06,27,yak_1,August
3,no pika,No S. chamaejasme,2022,sedges,0.44,28,yak_1,August
3,no pika,No S. chamaejasme,2022,grasses,0.15,29,yak_1,August
3,no pika,No S. chamaejasme,2022,forbs,0.07,30,yak_1,August
4,no pika,No S. chamaejasme,2022,sedges,0.4,13,yak_1,June
4,no pika,No S. chamaejasme,2022,grasses,0.28,14,yak_1,June
4,no pika,No S. chamaejasme,2022,forbs,0.11,15,yak_1,June
4,no pika,No S. chamaejasme,2022,sedges,0.42,16,yak_2,June
4,no pika,No S. chamaejasme,2022,grasses,0.16,17,yak_2,June
4,no pika,No S. chamaejasme,2022,forbs,0.14,18,yak_2,June
4,no pika,No S. chamaejasme,2022,sedges,0.5,19,yak_1,July
4,no pika,No S. chamaejasme,2022,grasses,0.26,20,yak_1,July
4,no pika,No S. chamaejasme,2022,forbs,0.17,21,yak_1,July
4,no pika,No S. chamaejasme,2022,sedges,0.37,22,yak_2,July
4,no pika,No S. chamaejasme,2022,grasses,0.26,23,yak_2,July
4,no pika,No S. chamaejasme,2022,forbs,0.13,24,yak_2,July
4,no pika,No S. chamaejasme,2022,sedges,0.38,25,yak_1,August
4,no pika,No S. chamaejasme,2022,grasses,0.26,26,yak_1,August
4,no pika,No S. chamaejasme,2022,forbs,0.06,27,yak_1,August
4,no pika,No S. chamaejasme,2022,sedges,0.25,28,yak_1,August
4,no pika,No S. chamaejasme,2022,grasses,0.22,29,yak_1,August
4,no pika,No S. chamaejasme,2022,forbs,0.16,30,yak_1,August
1,pika,No S. chamaejasme,2022,sedges,0.55,13,yak_1,June
1,pika,No S. chamaejasme,2022,grasses,0.19,14,yak_1,June
1,pika,No S. chamaejasme,2022,forbs,0.17,15,yak_1,June
1,pika,No S. chamaejasme,2022,sedges,0.54,16,yak_2,June
1,pika,No S. chamaejasme,2022,grasses,0.31,17,yak_2,June
1,pika,No S. chamaejasme,2022,forbs,0.08,18,yak_2,June
1,pika,No S. chamaejasme,2022,sedges,0.5,19,yak_1,July
1,pika,No S. chamaejasme,2022,grasses,0.16,20,yak_1,July
1,pika,No S. chamaejasme,2022,forbs,0.06,21,yak_1,July
1,pika,No S. chamaejasme,2022,sedges,0.35,22,yak_2,July
1,pika,No S. chamaejasme,2022,grasses,0.18,23,yak_2,July
1,pika,No S. chamaejasme,2022,forbs,0.06,24,yak_2,July
1,pika,No S. chamaejasme,2022,sedges,0.45,25,yak_1,August
1,pika,No S. chamaejasme,2022,grasses,0.22,26,yak_1,August
1,pika,No S. chamaejasme,2022,forbs,0.13,27,yak_1,August
1,pika,No S. chamaejasme,2022,sedges,0.45,28,yak_1,August
1,pika,No S. chamaejasme,2022,grasses,0.27,29,yak_1,August
1,pika,No S. chamaejasme,2022,forbs,0.16,30,yak_1,August
2,pika,No S. chamaejasme,2022,sedges,0.45,13,yak_1,June
2,pika,No S. chamaejasme,2022,grasses,0.24,14,yak_1,June
2,pika,No S. chamaejasme,2022,forbs,0.13,15,yak_1,June
2,pika,No S. chamaejasme,2022,sedges,0.3,16,yak_2,June
2,pika,No S. chamaejasme,2022,grasses,0.1,17,yak_2,June
2,pika,No S. chamaejasme,2022,forbs,0.17,18,yak_2,June
2,pika,No S. chamaejasme,2022,sedges,0.48,19,yak_1,July
