block,pika_treatment,poisonous_plants_treatment,grass_cover_percent,sedge_cover_percent,forb_cover_percent,s_chamaejasme_cover_percent,species_richness,active_pika_burrow_ha
1,no pika,no S. chamaejasme,22,38,27,18,26,184
2,no pika,no S. chamaejasme,17,47,19,19,29,231
3,no pika,no S. chamaejasme,27,42,21,31,32,143
4,no pika,no S. chamaejasme,21,61,16,25,23,98
1,pika,no S. chamaejasme,24,49,18,22,29,307
2,pika,no S. chamaejasme,13,63,24,16,24,143
3,pika,no S. chamaejasme,18,57,22,27,21,210
4,pika,no S. chamaejasme,25,40,29,23,26,95
1,no pika,S. chamaejasme,24,56,19,19,32,124
2,no pika,S. chamaejasme,27,39,21,26,25,181
3,no pika,S. chamaejasme,18,48,27,27,28,73
4,no pika,S. chamaejasme,24,54,23,32,23,166
1,pika,S. chamaejasme,23,46,26,28,21,83
2,pika,S. chamaejasme,19,33,18,21,29,121
3,pika,S. chamaejasme,25,48,26,24,25,287
4,pika,S. chamaejasme,21,57,15,18,20,94
